id,group,label,normalised_signal_pct,area_fraction_pct,mean_raw,median_raw,std_raw,p10,p90,skewness,cv,n_pixels,n_masked,pct_masked,file_found
P.00,Pigment,EB.HA control,100.0,43.3,203.73,204.0,4.35,198.0,209.0,-0.114,0.021,9650,350,3.5,True
P.01,Pigment,EB Kremer,95.9,43.42,195.3,195.0,2.84,192.0,199.0,0.284,0.015,9535,465,4.7,True
G.01,Pigment,Finer,72.8,45.98,148.4,149.0,5.5,140.0,155.0,-0.387,0.037,9537,463,4.6,True
S.CAR,Stratigraphy,Carbon overlay,6.9,49.8,14.01,9.0,13.65,6.0,26.0,3.151,0.975,9201,799,8.0,True
S.FEO,Stratigraphy,Iron oxide overlay,19.3,47.63,39.27,37.0,10.21,30.0,53.0,1.23,0.26,9340,660,6.6,True
S.ORP,Stratigraphy,Orpiment overlay,19.7,48.84,40.13,35.0,19.8,22.0,69.0,1.731,0.494,9231,769,7.7,True
M.ORP.01,Mixture,Orpiment 1:9,104.6,46.91,213.01,213.0,4.06,207.0,219.0,-0.175,0.019,9656,344,3.4,True
M.ORP.02,Mixture,Orpiment 1:1,86.5,47.43,176.25,177.0,7.22,167.0,184.0,-1.065,0.041,9496,504,5.0,True
M.ORP.03,Mixture,Orpiment 9:1,38.5,47.34,78.47,78.0,2.7,75.0,82.0,0.157,0.034,9572,428,4.3,True
M.CAR.01,Mixture,Carbon 1:9,1.4,29.87,2.76,3.0,1.37,1.0,4.0,-0.038,0.495,9990,10,0.1,True
M.CAR.02,Mixture,Carbon 1:1,0.6,30.21,1.16,1.0,1.06,0.0,3.0,0.844,0.921,9874,126,1.3,True
M.CAR.03,Mixture,Carbon 9:1,0.5,30.89,1.09,1.0,1.02,0.0,3.0,0.558,0.941,9412,588,5.9,True
M.ASH.01,Mixture,Ash 1:9,106.3,49.55,216.53,216.0,2.48,213.0,220.0,0.116,0.011,9718,282,2.8,True
M.ASH.02,Mixture,Ash 1:1,94.4,48.5,192.37,190.0,7.12,185.0,204.0,0.558,0.037,9819,181,1.8,True
M.ASH.03,Mixture,Ash 9:1,21.8,47.81,44.34,44.0,1.81,42.0,47.0,-0.246,0.041,9555,445,4.5,True
A.01,Alteration,Animal glue,100.6,43.63,205.02,206.0,5.8,199.0,211.0,-1.592,0.028,9437,563,5.6,True
A.02,Alteration,Glue + JP,106.4,37.39,216.78,217.0,2.31,214.0,220.0,0.018,0.011,9595,405,4.0,True
